"";"reportyear";"djelatnosti";"n";"prihod";"izvoz";"uvoz";"k_dug";"d_dug";"rad";"energy";"placa";"amortizacija";"fin_rashod";"tax_nett";"nett";"kapital";"plata";"dv";"dug"
"1";2000;"primarni";952;7,425128544;0,414890337;0;4,476648505;1,643986685;27847;0;1,432722886;0,495224383;0,326247709;0,022033285;-0,524441047;27,154178516;4287,48424725584;1,751787216;6,12063519
"2";2000;"sekundarni";12222;116,733087194;27,559897669;0;56,998425598;28,376284394;342979;0;18,806359652;9,396701039;6,217840255;-0,200254113;0,00456761700000005;176,262533044;4569,36616430355;34,22521445;85,374709992
"3";2000;"tercijarni";37259;146,388569534;11,850444188;0;65,25689007387;27,902390169;299006;0;16,06316769474;6,41434788988;4,893340799;-0,021983127;1,980904494;63,13552260426;4476,82423728955;29,32977775062;93,15928024287
"4";2001;"primarni";1404;10,72921906485;0,611240079;0;7,24422756644;3,969900811;33384;0;1,81977790995;0,60923096343;0,547149004;-0,117856128;-0,27661983494;27,88813721151;4542,54011390187;2,58168191444;11,21412837744
"5";2001;"sekundarni";14875;133,63405663548;30,82992763631;0;63,23662327657;33,44220192825;370735,7;0;21,25195441824;11,08773241041;5,85972603724;0,03916100725;1,10383010864;178,03307025878;4776,97778099061;39,34240398178;96,67882520482
"6";2001;"tercijarni";44563;183,57528281693;14,53755508284;0;80,59515828177;35,88623006648;351589,1;0;20,46516342269;10,72980006312;6,21825340759;0,01570481117;2,18705711691;79,107361227;4850,63469039332;39,61597882148;116,48138834825
"7";2002;"primarni";1485;10,60049133;0,710636327;0,857393516;7,216326469;4,001726689;33685,5;0,285654721;1,834824331;0,542279335;0,615748869;-0,028597606;-0,503644448;6,038129707;4539,10518125999;2,460610481;11,218053158
"8";2002;"sekundarni";15701;143,956763985;31,679405921;34,732595997;71,171899117;53,282003398;373152;5,88036372905;22,748679841;10,019686982;5,894202519;-0,510795782;5,73571814245;186,167921717;5080,29789491503;43,88749170245;124,453902515
"9";2002;"tercijarni";47506;213,560873644;18,382413428;41,639960686;88,26140864899;46,117632617;372915;2,89673246;23,9479069;10,544383576;6,972432982;-0,105344249;5,53758989881;89,11973281175;5351,51149278879;46,89696910781;134,37904126599
"10";2003;"primarni";1550;10,820285668;0,95724236;0,766408755;8,33469414;4,050356069;33085;0,319090295;1,972006944;0,53530963;0,597026221;-0,002021931;-0,751201442;5,160279872;4967,02167145232;2,351119422;12,385050209
"11";2003;"sekundarni";16337;167,71537275595;33,72512462895;37,541993153;79,03774152389;66,565677775;387644;6,788043368;25,167041117;11,223768714;6,33920681;0,17861923;1,57974857737;194,6731865735;5410,256385799;44,48838444837;145,60341929889
"12";2003;"tercijarni";51477;249,49820694651;20,83034714;50,24448330682;101,44421499981;60,484721721;401171;3,475084207;27,6779118149;12,73847825915;8,350698358;-0,29757625;6,29981191653;101,91196883885;5749,40025884639;54,76932409858;161,92893672081
"13";2004;"primarni";1607;11,212737421;0,787184566;0,744812568;8,15654451;4,849676866;31783;0,35168331;2,028301907;0,590963326;0,63313665;-0,115390176;-0,208717466;5,7138545;5318,09957891535;2,928294241;13,006221376
"14";2004;"sekundarni";16964;186,062811081;39,560428445;42,424450752;82,1569206896;76,306170138;388152;6,87034084891;26,80136051196;12,10911740848;6,14791703999;-0,613182193;2,19639496513;199,74063529104;5754,05178726375;46,64160773256;158,4630908276
"15";2004;"tercijarni";52658;262,83243996438;21,556283057;52,060432692;109,58942099132;71,776995995;410798;3,84440503283;30,184705035;15,13294882593;9,32613813214;0,077700507;7,26088153761;110,32410250616;6123,18484084635;61,98237403768;181,36641698632
"16";2005;"primarni";1682;11,759751921;0,909162928;1,026747123;8,791736734;5,506066227;31555;0,398014863;2,092427459;0,582738754;0,708440058;-0,008811995;0,189800035;7,236274596;5525,87402683146;3,564594311;14,297802961
"17";2005;"sekundarni";18405;203,897261983;46,066639199;50,592963944;93,719412057;89,693265274;396502;7,442722653;28,219813601;10,933041028;6,819166901;-0,830456031;5,623280337;203,808053454;5930,99437938943;50,764845836;183,412677331
"18";2005;"tercijarni";55386;286,217268942;24,529259804;55,888324599;116,713936901;84,627405791;430689;4,624942356;33,050529312;13,052139271;8,436202375;-0,212837934;10,680764456;129,268527458;6394,89463626886;65,00679748;201,341342692
